"","Name","Width","Height","Unmasked_Pixels","MeanGcc"
"39","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_044_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.33318886224811
"40","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_045_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.33368722824627
"41","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_046_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334522208839755
"42","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_047_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332898403822686
"43","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_048_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333223361489218
"44","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_049_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.3333114588252
"45","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_050_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334524085949159
"46","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_051_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332809488363939
"47","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_052_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333941355112211
"48","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_053_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334233689054973
"49","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_054_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331997361164834
"50","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_055_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334446664613932
"51","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_056_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334409971419422
"52","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_057_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333229226638328
"53","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_058_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332011700784882
"54","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_059_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333310046193193
"55","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_060_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.33270127414985
"56","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_061_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332883677543859
"57","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_062_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331276239649236
"58","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_063_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333079665927636
"59","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_064_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333404578255407
"60","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_065_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331743552464799
"61","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_066_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333921052006826
"62","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_067_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.33488328073465
"63","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_068_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334271481507487
"64","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_069_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333753170214535
"65","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_070_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334501596469314
"66","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_071_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.33202715637497
"67","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_072_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.328063413477381
"68","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_073_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331718278677248
"69","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_074_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333456040240121
"70","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_075_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333483689405218
"71","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_076_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331525800088461
"72","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_077_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333911763937138
"73","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_078_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331947073318336
"74","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_079_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332476170412843
"75","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_080_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334205171434511
"76","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_081_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334333269397076
"77","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_082_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.335495551225806
"78","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_083_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334837462864088
"79","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_084_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.335334142275781
"80","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_085_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334415451063813
"81","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_086_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.335248069733631
"82","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_087_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332280536478757
"83","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_088_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333930844953869
"84","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_089_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331766036569783
"85","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_090_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332167143776096
"86","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_091_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.335410828693789
"87","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_092_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333095080067825
"88","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_093_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.33224345811404
"89","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_094_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.335909356663389
"90","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_095_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333370558025213
"91","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_096_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.335166810254798
"92","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_097_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.335990286603274
